Razón Social ó Nombre,RNT,Municipio / Dpto,Estado
AGENCIA DE VIAJES GLOBAL TOUR VILLAVICENCIO,29776,VILLAVICENCIO - Meta,Pendiente Actualización
ALAMEDA VILLAVICENCIO,56335,VILLAVICENCIO - Meta,Activo
ALQUILARTE FINCAS VILLAVICENCIO,45655,VILLAVICENCIO - Meta,Activo
AUTOMETA SERVICIO ESPECIAL VILLAVICENCIO,36259,VILLAVICENCIO - Meta,Pendiente Actualización
AVIATUR VILLAVICENCIO,7618,VILLAVICENCIO - Meta,Activo
BEER STATION VIVA VILLAVICENCIO,45771,VILLAVICENCIO - Meta,Activo
CASA REAL VILLAVICENCIO,30304,VILLAVICENCIO - Meta,Suspendido
EQUIRENT S.A VILLAVICENCIO,24119,VILLAVICENCIO - Meta,Pendiente Actualización
EYAM VILLAVICENCIO,41305,VILLAVICENCIO - Meta,Activo
GHL GRAND VILLAVICENCIO HOTEL Y CENTRO DE CONVENCIONES,27921,VILLAVICENCIO - Meta,Activo
GOURMET VIVA VILLAVICENCIO,45772,VILLAVICENCIO - Meta,Activo
GRUPO HOTELERO CSI SUNRISE VILLAVICENCIO,37940,VILLAVICENCIO - Meta,Pendiente Actualización
HAMBURGUESAS EL CORRAL SUCURSAL VIVA VILLAVICENCIO,31184,VILLAVICENCIO - Meta,Activo
HOTEL ALAMEDA VILLAVICENCIO,31572,VILLAVICENCIO - Meta,Suspendido
HOTEL ALEJANDRIA VILLAVICENCIO,49542,VILLAVICENCIO - Meta,Suspendido
HOTEL ESTELAR VILLAVICENCIO,36542,VILLAVICENCIO - Meta,Activo
HOTEL LAS PALMAS VILLAVICENCIO,24621,VILLAVICENCIO - Meta,Activo
HOTEL MACONDO VILLAVICENCIO,49234,VILLAVICENCIO - Meta,Pendiente Actualización
HOTEL MAMBO REAL VILLAVICENCIO,41721,VILLAVICENCIO - Meta,Suspendido
HOTEL MARIA ALEJANDRA REAL VILLAVICENCIO,45561,VILLAVICENCIO - Meta,Pendiente Actualización
